,Unnamed: 0,case_id,Hospital,Hospital_type,Hospital_city,Hospital_region,Available_Extra_Rooms_in_Hospital,Bed_Grade,patientid,City_Code_Patient,Patient_Visitors,Admission_Deposit,clusters
count,31844.0,31844.0,31844.0,31844.0,31844.0,31844.0,31844.0,31836.0,31844.0,31447.0,31844.0,31844.0,31844.0
mean,158510.5695264414,158511.5695264414,18.424663986936313,1.2561864087426202,4.776252983293556,0.7790792613993217,3.1934744378846878,2.6192674959165725,65630.97792362768,7.258593824530162,3.2870870493656574,4888.7405476698905,2.3384311016203996
std,91959.84424905523,91959.84424905523,8.61431708506043,1.5374608292603218,3.0990961019904555,0.7507770598758214,1.1746493193298502,0.8700041488612582,38071.803844412025,4.702086785999184,1.7825747628251263,1092.4317861134496,3.168427451149907
min,6.0,7.0,1.0,0.0,1.0,0.0,0.0,1.0,4.0,1.0,0.0,1841.0,0.0
25%,78808.75,78809.75,11.0,0.0,2.0,0.0,2.0,2.0,32907.0,4.0,2.0,4193.0,1.0
50%,157908.0,157909.0,19.0,1.0,5.0,1.0,3.0,3.0,65283.0,8.0,3.0,4751.0,1.0
75%,238555.25,238556.25,26.0,2.0,7.0,1.0,4.0,3.0,98284.75,8.0,4.0,5411.0,3.0
max,318435.0,318436.0,32.0,6.0,13.0,2.0,24.0,4.0,131624.0,37.0,32.0,11008.0,12.0
count,4822.0,4822.0,4822.0,4822.0,4822.0,4822.0,4822.0,4818.0,4822.0,4774.0,4822.0,4822.0,4822.0
mean,136271.61800082953,136272.61800082953,18.725839900456243,1.2380754873496473,4.892575694732476,0.8015346329323932,3.191621733720448,2.213989207139892,64876.5613853173,7.204231252618349,3.4867274989630856,4777.578598092078,0.0
std,83994.02324511133,83994.02324511133,8.46562359766886,1.5574918367409665,3.058387571654519,0.7254333931563296,1.1801916879276593,0.9706484553115973,37915.03495874293,4.360938226856394,1.9185148269542343,1093.843046034144,0.0
min,6.0,7.0,1.0,0.0,1.0,0.0,1.0,1.0,33.0,1.0,0.0,1890.0,0.0
25%,66365.25,66366.25,12.0,0.0,2.0,0.0,2.0,1.0,32708.75,5.0,2.0,4082.0,0.0
50%,129608.5,129609.5,19.0,1.0,5.0,1.0,3.0,2.0,63828.5,8.0,3.0,4630.0,0.0
75%,200274.75,200275.75,26.0,2.0,7.0,1.0,4.0,3.0,98014.75,8.0,4.0,5278.75,0.0
max,318124.0,318125.0,32.0,6.0,13.0,2.0,9.0,4.0,131581.0,37.0,24.0,10506.0,0.0
count,14937.0,14937.0,14937.0,14937.0,14937.0,14937.0,14937.0,14936.0,14937.0,14757.0,14937.0,14937.0,14937.0
mean,148095.93566311843,148096.93566311843,18.574077793398942,1.2228024369016537,4.8239941085894085,0.774184909955145,3.182968467563768,2.5503481521156934,65604.1228493004,7.2057328725350684,3.350271138782888,4881.182432884782,1.0
std,89469.4666832593,89469.4666832593,8.499701792721028,1.5291427501098989,3.084924126033335,0.73893034660176,1.1449847317891524,0.8240662890316407,38294.88995386425,4.651339047362324,1.8086965829005832,1071.3085934008382,0.0
min,68.0,69.0,1.0,0.0,1.0,0.0,0.0,1.0,9.0,1.0,1.0,1885.0,1.0
25%,70765.0,70766.0,11.0,0.0,2.0,0.0,2.0,2.0,32229.0,4.0,2.0,4202.0,1.0
