,Unnamed: 0,case_id,Hospital,Hospital_type,Hospital_city,Hospital_region,Available_Extra_Rooms_in_Hospital,Bed_Grade,patientid,City_Code_Patient,Patient_Visitors,Admission_Deposit,clusters
count,31844.0,31844.0,31844.0,31844.0,31844.0,31844.0,31844.0,31836.0,31844.0,31447.0,31844.0,31844.0,31844.0
mean,158510.5695264414,158511.5695264414,18.424663986936313,1.2561864087426202,4.776252983293556,0.7790792613993217,3.1934744378846878,2.6192674959165725,65630.97792362768,7.258593824530162,3.2870870493656574,4888.7405476698905,6.525153875141314
std,91959.84424905523,91959.84424905523,8.61431708506043,1.5374608292603218,3.0990961019904555,0.7507770598758214,1.1746493193298502,0.8700041488612582,38071.803844412025,4.702086785999184,1.7825747628251263,1092.4317861134496,3.8918216212191363
min,6.0,7.0,1.0,0.0,1.0,0.0,0.0,1.0,4.0,1.0,0.0,1841.0,0.0
25%,78808.75,78809.75,11.0,0.0,2.0,0.0,2.0,2.0,32907.0,4.0,2.0,4193.0,3.0
50%,157908.0,157909.0,19.0,1.0,5.0,1.0,3.0,3.0,65283.0,8.0,3.0,4751.0,7.0
75%,238555.25,238556.25,26.0,2.0,7.0,1.0,4.0,3.0,98284.75,8.0,4.0,5411.0,10.0
max,318435.0,318436.0,32.0,6.0,13.0,2.0,24.0,4.0,131624.0,37.0,32.0,11008.0,12.0
count,2096.0,2096.0,2096.0,2096.0,2096.0,2096.0,2096.0,2096.0,2096.0,2072.0,2096.0,2096.0,2096.0
mean,145054.49952290076,145055.49952290076,18.80582061068702,1.2418893129770991,4.708492366412214,0.7433206106870229,2.8912213740458017,3.293416030534351,64187.56154580152,7.408783783783784,3.8673664122137406,4962.9231870229005,0.0
std,88921.99084393402,88921.99084393402,8.403828227231685,1.524714788982692,3.122089199843497,0.7395756018871492,1.0865193651851803,0.5200280611215877,38560.58409028936,4.655322034237828,2.675365196010902,1200.5964648556646,0.0
min,6.0,7.0,1.0,0.0,1.0,0.0,1.0,2.0,59.0,1.0,1.0,1951.0,0.0
25%,67200.0,67201.0,11.0,0.0,2.0,0.0,2.0,3.0,30181.5,5.0,2.0,4191.0,0.0
50%,140510.0,140511.0,21.0,1.0,5.0,1.0,3.0,3.0,63742.0,8.0,3.0,4799.5,0.0
75%,216296.25,216297.25,26.0,2.0,7.0,1.0,4.0,4.0,96791.25,8.0,4.0,5549.25,0.0
max,318435.0,318436.0,32.0,6.0,13.0,2.0,8.0,4.0,131577.0,34.0,30.0,10314.0,0.0
count,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1671.0,1674.0,1662.0,1674.0,1674.0,1674.0
mean,150850.38590203106,150851.38590203106,18.608721624850656,1.4103942652329748,4.862007168458781,0.8225806451612904,3.327956989247312,1.7827648114901258,65809.05794504182,7.043922984356198,2.911589008363202,4569.467741935484,1.0
std,86440.23760633559,86440.23760633559,9.104123480820162,1.5951696250139709,3.1934185584742685,0.7724741735761408,1.1563260896669618,0.5157075405767633,37322.29558979029,4.594174361373149,1.1532109525315415,906.8034649599646,0.0
min,79.0,80.0,1.0,0.0,1.0,0.0,1.0,1.0,68.0,1.0,0.0,1841.0,1.0
25%,76219.25,76220.25,11.0,0.0,2.0,0.0,2.0,1.0,33571.75,4.0,2.0,4037.25,1.0
50%,150219.0,150220.0,22.0,1.0,5.0,1.0,3.0,2.0,65666.0,8.0,3.0,4528.5,1.0
