,Unnamed: 0,case_id,Hospital,Hospital_type,Hospital_city,Hospital_region,Available_Extra_Rooms_in_Hospital,Bed_Grade,patientid,City_Code_Patient,Patient_Visitors,Admission_Deposit,clusters
count,31844.0,31844.0,31844.0,31844.0,31844.0,31844.0,31844.0,31836.0,31844.0,31447.0,31844.0,31844.0,31844.0
mean,158510.5695264414,158511.5695264414,18.424663986936313,1.2561864087426202,4.776252983293556,0.7790792613993217,3.1934744378846878,2.6192674959165725,65630.97792362768,7.258593824530162,3.2870870493656574,4888.7405476698905,5.0141941967089565
std,91959.84424905523,91959.84424905523,8.61431708506043,1.5374608292603218,3.0990961019904555,0.7507770598758214,1.1746493193298502,0.8700041488612582,38071.803844412025,4.702086785999184,1.7825747628251263,1092.4317861134496,3.7301730531702693
min,6.0,7.0,1.0,0.0,1.0,0.0,0.0,1.0,4.0,1.0,0.0,1841.0,0.0
25%,78808.75,78809.75,11.0,0.0,2.0,0.0,2.0,2.0,32907.0,4.0,2.0,4193.0,1.0
50%,157908.0,157909.0,19.0,1.0,5.0,1.0,3.0,3.0,65283.0,8.0,3.0,4751.0,4.0
75%,238555.25,238556.25,26.0,2.0,7.0,1.0,4.0,3.0,98284.75,8.0,4.0,5411.0,8.0
max,318435.0,318436.0,32.0,6.0,13.0,2.0,24.0,4.0,131624.0,37.0,32.0,11008.0,12.0
count,4390.0,4390.0,4390.0,4390.0,4390.0,4390.0,4390.0,4390.0,4390.0,4335.0,4390.0,4390.0,4390.0
mean,143622.00296127563,143623.00296127563,18.46400911161731,1.2915717539863325,4.665831435079727,0.7150341685649203,2.997038724373576,3.3580865603644647,65602.10911161732,7.0696655132641295,3.547608200455581,4995.4302961275625,0.0
std,89441.55065860474,89441.55065860474,8.877970891716542,1.5067848493112102,3.197984908767683,0.7718131538880579,1.110951460362299,0.47949238536253785,38158.83506602935,4.7440964945261905,2.2962196579872804,1098.6087177168981,0.0
min,77.0,78.0,1.0,0.0,1.0,0.0,0.0,3.0,68.0,1.0,1.0,1885.0,0.0
25%,62643.5,62644.5,11.0,0.0,2.0,0.0,2.0,3.0,32750.75,4.0,2.0,4290.0,0.0
50%,142900.0,142901.0,21.0,1.0,4.0,1.0,3.0,3.0,64654.5,8.0,3.0,4855.5,0.0
75%,220448.75,220449.75,26.0,2.0,6.0,1.0,4.0,4.0,97724.0,8.0,4.0,5526.0,0.0
max,318405.0,318406.0,32.0,6.0,13.0,2.0,9.0,4.0,131620.0,34.0,32.0,11008.0,0.0
count,3660.0,3660.0,3660.0,3660.0,3660.0,3660.0,3660.0,3659.0,3660.0,3605.0,3660.0,3660.0,3660.0
mean,167831.81229508197,167832.81229508197,18.202459016393444,1.296448087431694,4.583060109289617,0.7125683060109289,3.1068306010928963,3.1508608909538127,66057.59289617486,7.171151178918169,3.1095628415300545,5102.403551912568,1.0
std,90558.2149970431,90558.2149970431,8.859767746548446,1.532142084583153,3.1781292497241025,0.7841037967783987,1.136878302723884,0.6297536094236756,37704.723127127036,4.84794885865441,1.6242445466242799,1063.8411842496855,0.0
min,79.0,80.0,1.0,0.0,1.0,0.0,1.0,1.0,4.0,1.0,1.0,2122.0,1.0
25%,91269.75,91270.75,11.0,0.0,2.0,0.0,2.0,3.0,33929.0,4.0,2.0,4420.75,1.0
50%,176597.0,176598.0,21.0,1.0,4.0,1.0,3.0,3.0,66752.5,8.0,2.0,4953.0,1.0
75%,244805.25,244806.25,26.0,2.0,6.0,1.0,4.0,4.0,98528.0,8.0,4.0,5597.5,1.0
max,318225.0,318226.0,32.0,6.0,13.0,2.0,10.0,4.0,131608.0,37.0,16.0,10218.0,1.0
count,2236.0,2236.0,2236.0,2236.0,2236.0,2236.0,2236.0,2236.0,2236.0,2187.0,2236.0,2236.0,2236.0
mean,172363.07558139536,172364.07558139536,18.260286225402506,1.1686046511627908,4.425313059033989,0.7075134168157424,3.1489266547406083,3.306350626118068,65760.54516994633,7.609053497942387,3.505366726296959,4940.924418604651,2.0
std,93065.77845181897,93065.77845181897,8.26665530282151,1.5131690446620045,3.0417326453590245,0.7420612728783349,1.1576817504538757,0.46108025143039433,38561.595504579534,4.9081565112429635,1.8967693715622993,1078.2740990878171,0.0
min,86.0,87.0,1.0,0.0,1.0,0.0,1.0,3.0,59.0,1.0,1.0,2128.0,2.0
25%,88917.75,88918.75,11.0,0.0,2.0,0.0,2.0,3.0,32155.0,5.0,2.0,4238.25,2.0
50%,181325.0,181326.0,19.0,1.0,4.0,1.0,3.0,3.0,65696.0,8.0,3.0,4816.0,2.0
75%,252009.75,252010.75,26.0,2.0,7.0,1.0,4.0,4.0,98746.5,8.0,4.0,5481.0,2.0
max,318435.0,318436.0,32.0,6.0,13.0,2.0,8.0,4.0,131624.0,37.0,18.0,10314.0,2.0
count,2240.0,2240.0,2240.0,2240.0,2240.0,2240.0,2240.0,2236.0,2240.0,2220.0,2240.0,2240.0,2240.0
mean,141207.70178571428,141208.70178571428,18.678125,1.4482142857142857,4.7665178571428575,0.8459821428571429,3.295982142857143,1.6288014311270125,65073.700892857145,7.091441441441441,2.9959821428571427,4759.4517857142855,3.0
std,84947.98524560506,84947.98524560506,9.03971012503761,1.6359069471062155,3.144920746630042,0.7625278941253307,1.186262712281024,0.48323351025122246,37648.66961047702,4.386798448211509,1.1941804396381408,1051.7536356228766,0.0
min,19.0,20.0,1.0,0.0,1.0,0.0,1.0,1.0,68.0,1.0,0.0,1841.0,3.0
25%,70890.75,70891.75,11.0,0.0,2.0,0.0,2.0,1.0,32942.25,4.0,2.0,4117.5,3.0
50%,140082.0,140083.0,22.0,1.0,4.0,1.0,3.0,2.0,64109.0,8.0,3.0,4632.0,3.0
75%,210459.0,210460.0,26.0,2.0,7.0,1.0,4.0,2.0,97403.25,8.0,4.0,5212.0,3.0
max,317957.0,317958.0,32.0,6.0,13.0,2.0,12.0,2.0,131594.0,37.0,12.0,10506.0,3.0
count,3898.0,3898.0,3898.0,3898.0,3898.0,3898.0,3898.0,3898.0,3898.0,3850.0,3898.0,3898.0,3898.0
mean,153159.16726526423,153160.16726526423,18.857875833760904,0.9899948691636736,5.189584402257568,0.8268342739866599,3.367880964597229,1.814776808619805,65158.97973319651,7.465714285714285,3.3596716264751154,4700.908158029759,4.0
std,89394.55179561426,89394.55179561426,7.660242031656204,1.475191284239287,2.860493250976863,0.6739618433694416,1.1795950011053307,0.38852836040893823,38585.42676792721,4.341668371944048,1.3935350914992772,1015.4494050701238,0.0
