,Unnamed: 0,case_id,Hospital,Hospital_type,Hospital_city,Hospital_region,Available_Extra_Rooms_in_Hospital,Department,Ward_Type,Ward_Facility,Bed_Grade,patientid,City_Code_Patient,Type of Admission,Illness_Severity,Patient_Visitors,Age,Admission_Deposit,Stay_Days,clusters
count,31844.0,31844.0,31844.0,31844.0,31844.0,31844.0,31844.0,31844.0,31844.0,31844.0,31836.0,31844.0,31447.0,31844.0,31844.0,31844.0,31844.0,31844.0,31844.0,31844.0
mean,158510.5695264414,158511.5695264414,18.424663986936313,1.2561864087426202,4.776252983293556,0.7790792613993217,3.1934744378846878,1.9466147468910941,1.8938889586735335,3.2794246953900266,2.6192674959165725,65630.97792362768,7.258593824530162,0.7841351588996357,0.621498555457857,3.2870870493656574,4.12894108780304,4888.7405476698905,3.189611857806808,3.6944165305866097
std,91959.84424905523,91959.84424905523,8.61431708506043,1.5374608292603218,3.0990961019904555,0.7507770598758214,1.1746493193298502,0.5622185728301533,0.8002930011628628,1.688260608305779,0.8700041488612582,38071.803844412025,4.702086785999184,0.6905844322699795,0.7660994284649382,1.7825747628251263,1.8968846233987777,1092.4317861134496,2.2103888029897774,2.1415928299360205
min,6.0,7.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,1841.0,0.0,0.0
25%,78808.75,78809.75,11.0,0.0,2.0,0.0,2.0,2.0,1.0,2.0,2.0,32907.0,4.0,0.0,0.0,2.0,3.0,4193.0,1.0,2.0
50%,157908.0,157909.0,19.0,1.0,5.0,1.0,3.0,2.0,2.0,4.0,3.0,65283.0,8.0,1.0,0.0,3.0,4.0,4751.0,3.0,4.0
75%,238555.25,238556.25,26.0,2.0,7.0,1.0,4.0,2.0,2.0,5.0,3.0,98284.75,8.0,1.0,1.0,4.0,6.0,5411.0,4.0,6.0
max,318435.0,318436.0,32.0,6.0,13.0,2.0,24.0,4.0,4.0,5.0,4.0,131624.0,37.0,2.0,2.0,32.0,9.0,11008.0,10.0,7.0
count,2186.0,2186.0,2186.0,2186.0,2186.0,2186.0,2186.0,2186.0,2186.0,2186.0,2186.0,2186.0,2159.0,2186.0,2186.0,2186.0,2186.0,2186.0,2186.0,2186.0
mean,194244.12122598354,194245.12122598354,17.989021043000914,1.4094236047575481,4.806953339432754,0.8577310155535224,3.224611161939616,1.934583714547118,1.9208600182982616,3.202195791399817,2.8092406221408965,65390.748398902106,7.317276516905975,2.0,1.3513266239707227,2.9441903019213176,3.510978956999085,4827.516010978957,2.9945105215004575,0.0
std,94907.49334855317,94907.49334855317,9.12064413461136,1.5224582484972744,3.161013531899467,0.7879975913950882,1.2106914867941048,0.5359588901121699,0.8048220756982046,1.8181174990540956,0.8922379082208113,37558.078400529615,4.818757063942654,0.0,0.47749400791308294,1.5092682720731536,1.949738761475733,1170.796643245557,2.1484850845352597,0.0
min,137.0,138.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,51.0,1.0,2.0,1.0,1.0,0.0,1841.0,0.0,0.0
25%,117148.5,117149.5,10.0,0.0,2.0,0.0,2.0,2.0,1.0,1.0,2.0,33073.0,4.0,2.0,1.0,2.0,2.0,4078.0,1.0,0.0
50%,210405.0,210406.0,21.0,1.0,4.5,1.0,3.0,2.0,2.0,4.0,3.0,64793.5,8.0,2.0,1.0,2.0,3.0,4654.0,3.0,0.0
75%,280099.5,280100.5,26.0,2.0,6.0,1.0,4.0,2.0,3.0,5.0,3.0,97571.25,8.0,2.0,2.0,4.0,5.0,5363.5,4.0,0.0
max,318347.0,318348.0,32.0,6.0,13.0,2.0,12.0,4.0,4.0,5.0,4.0,131594.0,34.0,2.0,2.0,16.0,9.0,10729.0,10.0,0.0
count,4246.0,4246.0,4246.0,4246.0,4246.0,4246.0,4246.0,4246.0,4246.0,4246.0,4245.0,4246.0,4210.0,4246.0,4246.0,4246.0,4246.0,4246.0,4246.0,4246.0
mean,147828.78261893548,147829.78261893548,18.39048516250589,1.3784738577484692,4.695949128591615,0.7880357983984927,3.2826189354686766,1.9439472444653791,1.9022609514837494,3.3195949128591615,1.9575971731448762,65569.3768252473,6.951543942992874,1.0004710315591145,0.0,2.8923692887423456,4.215025906735751,4981.692180876119,3.5164861045690063,1.0
